"Comment","Author","PublishedAt","LikeCount"
"Позор .","@mama.na.youtube","2024-07-28T07:13:47Z","1"
"This event is supporting and tolerating terrorism by inviting russian&#39;s sportsmen who actively support genocidal war in Ukraine. Hypocritical society of Europe","@oraora1643","2024-07-28T07:13:43Z","1"
"France doesnt have an national team, doesnt have culture, doesnt have good commentators. Totally woke country","@turplexx233","2024-07-28T07:13:17Z","2"
"What is this song called? <a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=10415"">2:53:35</a>","@hedgehogntheworld","2024-07-28T07:13:09Z","0"
"The minions language is based on french, and they were originally animated by a french studio","@rfldss89","2024-07-28T07:12:20Z","2"
"<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=7320"">2:02:00</a> Polska 🇵🇱🇵🇱🇵🇱","@rawsillicon3983","2024-07-28T07:12:16Z","0"
"🤮","@csabaoszkar","2024-07-28T07:11:30Z","0"
"Just great. Noth more to say","@montkaw","2024-07-28T07:10:11Z","0"
"disgusting . France is the toilet of Europe","@AJAENT","2024-07-28T07:09:49Z","4"
"Satan descended to earth","@user-fw1dk8ry4m","2024-07-28T07:09:48Z","2"
"&quot;Колкото и да се опитваха да ни внушат, че имам привилегията да присъствам като индивидуално поканен, на някакво изключително зрелице, което предшества едно изключително събитие, не успях да се отърся от гнетящо усещане на обреченост, тъжност (не тъга)! Буфосинхрониадата и цирковата, пресилена шарения, не успяха да ме накарат да се усмихвам, а точно обратното - през цялото време ме гнетеше чувството, че един загиващ свят нарочно си е устроил един прощален купон - нещо като ПИР ПО ВРЕМЕ НА ЧУМА! Честване на пришествието на н.В. Смъртта. Вакханалия на луд римски император, който е събрал всичките си клоуни, джуджета и фрийкове, накарал е всички да се нашмъркат и натряскат и държи под ръка факлата, с която да опожари всичко&quot;,","@tihomirtomov25","2024-07-28T07:07:31Z","3"
"— А музыка ваша американская — говно.<br>— Music? Ah, oui, musique excellente.<br>— Ну чё ты споришь? Тебе говорят — говно музыка, а ты споришь.","@infocted","2024-07-28T07:06:03Z","0"
"Rain ? <br><br><br><br>GOD was crying seeing this 3ullshit !","@worldclassyoutuber2085","2024-07-28T07:05:10Z","1"
"I feel bad for France.","@ionutgalatanu9491","2024-07-28T07:04:53Z","0"
"Azarbeycan ve Türkiye için başarılar 🇦🇿❤🇹🇷","@boss_ash.","2024-07-28T07:04:23Z","0"
